timestamp,author_channel_id,display_name,message_text,message_sentiment,message_summary,message_type,super_chat_amount,video_offset_sec
2026-04-26T17:58:35.626Z,UCpbdVUHU5hWUVlzSZzSHHMw,@WaffleKnight1,pobyyyyyy,neutral,pobyyyyyy,textMessageEvent,,15144.582
2026-04-26T17:58:35.793Z,UClIHNkNNR0dMK0DIVewydNQ,@DippyDog,GOAT,high-energy,all caps reaction,textMessageEvent,,15144.688
2026-04-26T17:58:35.828Z,UCG_MGrZR3bBA7QFqC4DMr_Q,@ironfrill1367,POBY THE GOAT,high-energy,all caps reaction,textMessageEvent,,15144.795
2026-04-26T17:58:35.915Z,UCVfmStCk6SefBZqNKajbGaA,@noahschuster188,POBYYYY,high-energy,all caps reaction,textMessageEvent,,15144.834
2026-04-26T17:58:36.634Z,UCH6PKhh_Bc2qnxODm4KOf8Q,@snackboysupreme762,POBY ,high-energy,all caps reaction,textMessageEvent,,15145.703
2026-04-26T17:58:37.035Z,UCDe062EC29-chP2FsqTZRJg,@sunnylai9265,penta lul,neutral,penta lul,textMessageEvent,,15146.175
2026-04-26T17:58:37.430Z,UCZp0jR3owMGA9lGos8k3nTw,@tylerlarson5383,PENTAA,high-energy,all caps reaction,textMessageEvent,,15146.498
2026-04-26T17:58:37.480Z,UC4Q5MxAzagnh68n3UyKMOhQ,@Athrun23,"yeahhhhhhhhhhhhhh, thank you",neutral,yeahhhhhhhhhhhhhh thank you,textMessageEvent,,15146.632
2026-04-26T17:58:37.673Z,UC8Cvq3NTbtdebsXyuHMmERw,@pgcalm,POBY PENTA,high-energy,all caps reaction,textMessageEvent,,15146.739
2026-04-26T17:58:37.700Z,UCV7gCMYuRQR4RLRmyX7n7Wg,@Cybergig00,Penta Poby !!,neutral,penta poby,textMessageEvent,,15146.83
2026-04-26T17:58:38.845Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,POBY!!!!,high-energy,all caps reaction,textMessageEvent,,15147.997
2026-04-26T17:58:38.914Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,THE GOST,high-energy,all caps reaction,textMessageEvent,,15148.016
2026-04-26T17:58:39.032Z,UCkXIvhAsKuw1U-KQUcE7NHQ,@kaylabernard7885,thank god I was getting stressed,neutral,thank god i,textMessageEvent,,15148.1
2026-04-26T17:58:39.536Z,UCbo4X7zZ4_rarJw_R_qcC_Q,@krop2124,Waiting for penta ,neutral,waiting for penta,textMessageEvent,,15148.604
2026-04-26T17:58:39.588Z,UCim2bKmJjZrSSr4tKoukNiQ,@luxfreakx,thats a greatest of some time :D,neutral,thats a greatest,textMessageEvent,,15148.657
2026-04-26T17:58:39.594Z,UCSjppbG42UVcJbI-O5SCxBw,@kishiiiiiiiiiii,PENTAKILL,high-energy,all caps reaction,textMessageEvent,,15148.739
2026-04-26T17:58:39.938Z,UCriToUlQx7JR-QKsu7sEwOQ,@左逼7414,POBYY,high-energy,all caps reaction,textMessageEvent,,15149.078
2026-04-26T17:58:40.013Z,UC6VUW6hgzEdLFAvfQDWviOg,@M_Seaghoull,gost,neutral,gost,textMessageEvent,,15149.082
2026-04-26T17:58:40.270Z,UCWC9OQlZ2G8QSflXamtRQJA,@parad0x_223,PENTAAAAAAAAAA,high-energy,all caps reaction,textMessageEvent,,15149.337
2026-04-26T17:58:40.384Z,UCbmF4hwJ3qNVnlqnj0R7DNA,@araiauey1282,0 7,neutral,0 7,textMessageEvent,,15149.528
2026-04-26T17:58:40.400Z,UC6oDMtWtCwBm3l40W1rC1MQ,@gerald-xx6wp,POBY Bryant PENTAAAA,neutral,poby bryant pentaaaa,textMessageEvent,,15149.556
2026-04-26T17:58:40.456Z,UC5ZhWAJD_CqWGzcqN_rKhcw,@Delbin90,atleast poby got penta,neutral,atleast poby got,textMessageEvent,,15149.563
2026-04-26T17:58:40.493Z,UChDbdTtfaDvJE0-8GRNCTpQ,@nayra.mp4,nice,positive,praise,textMessageEvent,,15149.629
2026-04-26T17:58:40.646Z,UCm3_QsIp7E7rwXqnooCXcZw,@charbelmaroun3274,PENTAAA,high-energy,all caps reaction,textMessageEvent,,15149.712
2026-04-26T17:58:41.427Z,UCZ5JH1RhggJcFREzQ2r7YiQ,@petrikovsky6936,MYGOAT,high-energy,all caps reaction,textMessageEvent,,15150.493
2026-04-26T17:58:41.548Z,UCU08Ue9y9lVigeTECEQ-xEw,@iBenddo,W ARENA,high-energy,all caps reaction,textMessageEvent,,15150.618
2026-04-26T17:58:41.593Z,UC1_JYeT0ZuHOrg2jaIuQU6g,@nathanhawkins6661,LETS GOOOOOO!,high-energy,all caps reaction,textMessageEvent,,15150.658
2026-04-26T17:58:41.599Z,UCY4pCUnrFSTfaKyH6h7fLGg,@ha09875978,GGGGGGG,high-energy,all caps reaction,textMessageEvent,,15150.713
2026-04-26T17:58:41.984Z,UCOp0ggGraT_orOh0KjdSGMQ,@Jotimm4,SOME ROADS ;LEAD TO HIM,high-energy,all caps reaction,textMessageEvent,,15150.782
2026-04-26T17:58:42.080Z,UCprIHmmKZ5ZvMdB2t8od_hQ,@agenhunt,gh,neutral,gh,textMessageEvent,,15150.95
2026-04-26T17:58:42.169Z,UCZ9mdAiHFa0biCNEdllzE0g,@armansmith2051,My Goat!!,neutral,my goat,textMessageEvent,,15150.965
2026-04-26T17:58:42.854Z,UCRNoR89ydnEjI3DtTLUezwQ,@pepajust4099,WP POOOBY,positive,praise,textMessageEvent,,15151.653
2026-04-26T17:58:43.619Z,UCEhZSZGDTfN3lCo1VxE9gaw,@雲翼翼,Pobyyyyyyyuuu ,neutral,pobyyyyyyyuuu,textMessageEvent,,15152.501
2026-04-26T17:58:44.744Z,UCAKcZA4PPSbNexgbgXkGe8A,@konodioda6172,poby gost,neutral,poby gost,textMessageEvent,,15153.611
2026-04-26T17:58:45.361Z,UCFGveg-Khm7uzUQjqM4zeiQ,@Scotty452,THE KILLABLE ANGEL PRINCE,high-energy,all caps reaction,textMessageEvent,,15154.157
2026-04-26T17:58:45.490Z,UCPcbzN-XuPUFvZ3cd99I_Kg,@gmdoukas,hahahahahhaha,positive/humor,laughing reaction,textMessageEvent,,15154.286
2026-04-26T17:58:45.869Z,UCULsdOaoafN2q6OB2gJWvUA,@bryansimon8529,POVY PENTA,high-energy,all caps reaction,textMessageEvent,,15154.665
2026-04-26T17:58:46.946Z,UC2qbS2ZPX7hWganek8fSdBw,@ReginaAmare,The greatest of sometimes,neutral,the greatest of,textMessageEvent,,15155.754
2026-04-26T17:58:47.477Z,UCt8NPdJPhVTqO12I7jjim2A,@DannyHranica,finally lol ,positive/humor,laughing reaction,textMessageEvent,,15156.259
2026-04-26T17:58:47.841Z,UCFSFDpfZX55U0eIlWs0JniA,@TangibleHazelnut7,Poby penta!,neutral,poby penta,textMessageEvent,,15156.664
2026-04-26T17:58:47.846Z,UCylFw32s8K4LxXOVnTBRRWg,@MegaAndrew1213,POBY THE GOAT,high-energy,all caps reaction,textMessageEvent,,15156.685
2026-04-26T17:58:48.064Z,UCNyIqdw-P8OTA5_nPB4pvfQ,@yulong1221,GOST,high-energy,all caps reaction,textMessageEvent,,15156.914
2026-04-26T17:58:50.597Z,UC6oDMtWtCwBm3l40W1rC1MQ,@gerald-xx6wp,MY GOST,high-energy,all caps reaction,textMessageEvent,,15159.43
2026-04-26T17:58:51.121Z,UC5R-DByk8YwEVXMrWF3e3jw,@asiyt_,MYGOST,high-energy,all caps reaction,textMessageEvent,,15159.903
2026-04-26T17:58:51.449Z,UCaUrKWNHTVbzVb1VqVBTYRg,@businesstime15,actually cool,neutral,actually cool,textMessageEvent,,15160.26
2026-04-26T17:58:51.598Z,UCZC1b1s4EvtmPqxeZC_Ovfg,@kennethanthonyroquid,indeed azir is the key ,neutral,indeed azir is,textMessageEvent,,15160.658
2026-04-26T17:58:52.571Z,UCbeT8hoIMPx-vCS2Y0kDl4w,@AvidCocaineEnjoyer,MY GOAT POBY,high-energy,all caps reaction,textMessageEvent,,15161.631
2026-04-26T17:58:55.278Z,UC0ZcWaztFz89UdTGNcWgkAA,@314shi,THAT IS INSANE,high-energy,all caps reaction,textMessageEvent,,15164.401
2026-04-26T17:58:55.403Z,UCgrkmob-YfPPYx_D5TYF1nQ,@dragongundamstudios,That was the most solo queue ending i have ever seen,neutral,that was the,textMessageEvent,,15164.499
2026-04-26T17:58:57.953Z,UCBeWbS5FMr7losQ9BjtKD7w,@werewolf1e,nerf Azir Kappa,neutral,nerf azir kappa,textMessageEvent,,15167.047
2026-04-26T17:59:03.480Z,UCVFnaukRnTufs4P1NYN0pAA,@karlanderson6482,Good job poby,neutral,good job poby,textMessageEvent,,15172.55
2026-04-26T17:59:03.783Z,UCoFHi5Pv_heV2hJS55ZB8Ig,@RodolfoDibMachado,LEC arena is so clean ,neutral,lec arena is,textMessageEvent,,15172.86
2026-04-26T17:59:04.374Z,UCbhBFIKtovmuzn_Pf2WzF5g,@haoyuexu,gg ez,positive,praise,textMessageEvent,,15173.411
2026-04-26T17:59:08.361Z,UCPyk_nWXvL55mbzuw4ZNJ6w,@DIDeusIratus,stream lag?,questioning,question,textMessageEvent,,15177.416
2026-04-26T17:59:09.554Z,UC3uxWIRcnLIiCcA4ILvHjkg,@panconqueso333-6f,SOME ROADS LEAD TO ME,high-energy,all caps reaction,textMessageEvent,,15178.683
2026-04-26T17:59:09.576Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,poby pom for sure,neutral,poby pom for,textMessageEvent,,15178.698
2026-04-26T17:59:10.468Z,UCZC1b1s4EvtmPqxeZC_Ovfg,@kennethanthonyroquid,this is hard,neutral,this is hard,textMessageEvent,,15179.522
2026-04-26T17:59:12.486Z,UCV7gCMYuRQR4RLRmyX7n7Wg,@Cybergig00,"Parus MvP , he hit every E",neutral,parus mvp he,textMessageEvent,,15181.603
2026-04-26T17:59:13.041Z,UC4Q5MxAzagnh68n3UyKMOhQ,@Athrun23,"jungle,",neutral,jungle,textMessageEvent,,15182.175
2026-04-26T17:59:13.215Z,UC1nirz5ukPoB-tWZrmJNe_Q,@spongebobby5734,paduck wtf ?,questioning,question,textMessageEvent,,15182.266
2026-04-26T17:59:16.038Z,UCeaLLmWMlUOdFBizftg-okQ,@Jayynoz.,next patch riot nerfing azir watch,neutral,next patch riot,textMessageEvent,,15185.164
2026-04-26T17:59:17.474Z,UConZn9VbRwFQBdo-vmZDsKQ,@ethanp5948,bro lec should just move to paris full time,neutral,bro lec should,textMessageEvent,,15186.487
2026-04-26T17:59:19.682Z,UCWWOgYe49V78EDjCOWHJoCw,@ColorCast,lezgoooo my fantasy league was a bet on pobby!,neutral,lezgoooo my fantasy,textMessageEvent,,15188.693
2026-04-26T17:59:20.095Z,UCZC1b1s4EvtmPqxeZC_Ovfg,@kennethanthonyroquid,parus deserved that,neutral,parus deserved that,textMessageEvent,,15189.106
2026-04-26T17:59:21.133Z,UCShyXDgRPQ_kVimjcoDFrtA,@lunanacomet,A FEW ROADS LEAD TO HIM,high-energy,all caps reaction,textMessageEvent,,15190.209
2026-04-26T17:59:27.748Z,UC6oDMtWtCwBm3l40W1rC1MQ,@gerald-xx6wp,the greatest of sometimes come it of PENTA,neutral,the greatest of,textMessageEvent,,15196.806
2026-04-26T17:59:28.078Z,UC8Cvq3NTbtdebsXyuHMmERw,@pgcalm,Parus played very well,neutral,parus played very,textMessageEvent,,15197.101
2026-04-26T17:59:31.352Z,UCV7gCMYuRQR4RLRmyX7n7Wg,@Cybergig00,another game 3 throw by paduck :(,neutral,another game 3,textMessageEvent,,15200.396
2026-04-26T17:59:35.238Z,UCVfmStCk6SefBZqNKajbGaA,@noahschuster188,Shifters,neutral,shifters,textMessageEvent,,15204.06
2026-04-26T17:59:37.436Z,UC3BSt-Q3Ag6Sjxu_-pz9yGA,@chrisraptor9,shifters need to shift to different teams ,neutral,shifters need to,textMessageEvent,,15206.567
2026-04-26T17:59:40.041Z,UCylFw32s8K4LxXOVnTBRRWg,@MegaAndrew1213,PENTAAAA POBY,high-energy,all caps reaction,textMessageEvent,,15209.179
2026-04-26T17:59:41.739Z,UCf08cz69g6uLUI7XIIESW2w,@Eyes_2See,"Parus was like ""I'm ending this game one way or another""",neutral,parus was like,textMessageEvent,,15210.779
2026-04-26T17:59:45.510Z,UC4Q5MxAzagnh68n3UyKMOhQ,@Athrun23,"jungle dif, give it to him",neutral,jungle dif give,textMessageEvent,,15214.616
2026-04-26T17:59:46.758Z,UCZC1b1s4EvtmPqxeZC_Ovfg,@kennethanthonyroquid,player of the series. Parus ended that game ,neutral,player of the,textMessageEvent,,15215.784
2026-04-26T17:59:50.557Z,UC9ekC9nBIve7brHriS571vg,@K.Ziq72,woaaaaaa,neutral,woaaaaaa,textMessageEvent,,15219.616
2026-04-26T17:59:57.824Z,UC8yPRwk9JZQlCykJSgfeFww,@haldern501,@ethanp5948 KC home crowd every game sure why not,neutral,ethanp5948 kc home,textMessageEvent,,15226.833
2026-04-26T17:59:58.787Z,UCgrkmob-YfPPYx_D5TYF1nQ,@dragongundamstudios,Shifters need to shift resources,neutral,shifters need to,textMessageEvent,,15227.808
2026-04-26T18:00:02.162Z,UCpyz2w59lucqPremOPPCBNQ,@amitalkingtome8552,"insane how many people there are, as opposed to lec arena",neutral,insane how many,textMessageEvent,,15231.161
2026-04-26T18:00:02.415Z,UCBDghRlQ0rEnwS3ytiX4bcQ,@Savathor,Are we ready for FNC to beat KC and then lose to Heretics next week? ,questioning,question,textMessageEvent,,15231.41
2026-04-26T18:00:04.642Z,UClCYD9umlRi9IPoUD0Q83zw,@딸기할배유,poby the god,neutral,poby the god,textMessageEvent,,15233.707
2026-04-26T18:00:08.279Z,UChDbdTtfaDvJE0-8GRNCTpQ,@nayra.mp4,let's go,neutral,let's go,textMessageEvent,,15237.484
2026-04-26T18:00:11.698Z,UCrPgHnOtLiJLkuJGTMaepQA,@Eievuitton,Parus that was promised,neutral,parus that was,textMessageEvent,,15240.689
2026-04-26T18:00:17.005Z,UCV7gCMYuRQR4RLRmyX7n7Wg,@Cybergig00,"Parus MvP , hit every E",neutral,parus mvp hit,textMessageEvent,,15246.043
2026-04-26T18:00:18.262Z,UCylFw32s8K4LxXOVnTBRRWg,@MegaAndrew1213,POBY PENTA,high-energy,all caps reaction,textMessageEvent,,15247.301
2026-04-26T18:00:19.714Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Check out the LEC merch collection here: https://eu.nationsgamingclub.com/,neutral,check out the,textMessageEvent,,15248.788
2026-04-26T18:00:23.412Z,UCXoh5DFV95M3TZTUM93avYA,@thatonekid304,shifters can shift out of the league,neutral,shifters can shift,textMessageEvent,,15252.55
2026-04-26T18:00:29.303Z,UC8yPRwk9JZQlCykJSgfeFww,@haldern501,does any other LEC team have such a close tie to a single country as KC does with France?,questioning,question,textMessageEvent,,15258.301
2026-04-26T18:00:31.470Z,UCbhBFIKtovmuzn_Pf2WzF5g,@haoyuexu,wow thats a lot of people ,neutral,wow thats a,textMessageEvent,,15260.54
2026-04-26T18:00:32.294Z,UCSjppbG42UVcJbI-O5SCxBw,@kishiiiiiiiiiii,faker struggled with azir 2 consecutive days so no i riot is not nerfing azir anytime soon,neutral,faker struggled with,textMessageEvent,,15261.186
2026-04-26T18:00:33.696Z,UCyScRHCkFmDq-l4WncV1zlw,@nottodayjimmy851,Parus is the key they won,neutral,parus is the,textMessageEvent,,15262.597
2026-04-26T18:00:40.227Z,UC4Q5MxAzagnh68n3UyKMOhQ,@Athrun23,jungle jungle jungle,neutral,jungle jungle jungle,textMessageEvent,,15269.366
2026-04-26T18:00:47.694Z,UCZC1b1s4EvtmPqxeZC_Ovfg,@kennethanthonyroquid,all deserving of player of the series though but give it to parus please ,neutral,all deserving of,textMessageEvent,,15276.496
2026-04-26T18:00:48.222Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Follow LEC on TikTok: https://www.tiktok.com/@lec,neutral,follow lec on,textMessageEvent,,15277.084
2026-04-26T18:00:52.029Z,UChDbdTtfaDvJE0-8GRNCTpQ,@nayra.mp4,AYAYA,high-energy,all caps reaction,textMessageEvent,,15281.147
2026-04-26T18:00:54.162Z,UCSnniqW8FUKEVw6QH0QGrIw,@Normantime,what did kyeahoo do to u lmao,positive/humor,laughing reaction,textMessageEvent,,15283.276
2026-04-26T18:01:04.025Z,UCNxVqb7JjvgobTOjcMDQCUA,@yaboiaxl1216,MY GOAT POBY,high-energy,all caps reaction,textMessageEvent,,15292.9
2026-04-26T18:01:04.519Z,UCTZ3eS6H4sTI6dvBxrDn-0Q,@OneWingedRose,can't spell POG without Pentakill,neutral,can't spell pog,textMessageEvent,,15293.394
2026-04-26T18:01:05.316Z,UCaUrKWNHTVbzVb1VqVBTYRg,@businesstime15,"vedi spare us the white lies, it's been a desperate season for shft",neutral,vedi spare us,textMessageEvent,,15294.189
2026-04-26T18:01:08.728Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,Remember to Follow LEC on X: https://x.com/LEC,neutral,remember to follow,textMessageEvent,,15297.881
2026-04-26T18:01:21.813Z,UCIFTEisMXVBRul0cTXXu2SQ,@akshaj-lol,gg,positive,praise,textMessageEvent,,15310.933
2026-04-26T18:01:26.782Z,UCJ7gsg2s98GrH3eQQvDutYw,@Sage-j9k,my heart,neutral,my heart,textMessageEvent,,15315.924
2026-04-26T18:01:28.728Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"Racism, sexism, or discrimination of any kind will result in receiving a penalty. No political or religious topics. No advertisement, gambling or promotion of illegal acts. Please be kind to everyone.",neutral,racism sexism or,textMessageEvent,,15317.825
2026-04-26T18:01:30.047Z,UCtLq9xCRLsNsk5D_ZbMhMPw,@OGTrayneRekk,serious question ... is that a Laure baby bump?,questioning,question,textMessageEvent,,15319.18
2026-04-26T18:01:30.379Z,UC7E-ZyApaU6L8HCXadLB03g,@shaakho,she’s so pretty ,neutral,she s so,textMessageEvent,,15319.482
2026-04-26T18:01:36.896Z,UCUjTbx4tfMyhGTT8ML42lMA,@Jayrude,yes,neutral,yes,textMessageEvent,,15325.963
2026-04-26T18:01:43.296Z,UCDiTa2MHbhpvlGCyC537kEg,@ririslvt,yea it is ,neutral,yea it is,textMessageEvent,,15332.333
2026-04-26T18:01:47.762Z,UCSvjQBDgYDB5TGVmCZObcwA,@nightbot,"We understand you want to cheer in your native language, however to make chat understandable for everyone, please, keep it in English. All non-English messages will be deleted. Thank you!",neutral,we understand you,textMessageEvent,,15336.807
2026-04-26T18:01:56.067Z,UCXNOk7C9ySXAeAwLQMyumQA,@gggremlin,"""it's not about confidence, we just get nervous on stage in front of the crowd""",neutral,it's not about,textMessageEvent,,15345.191
2026-04-26T18:02:00.354Z,UCIFTEisMXVBRul0cTXXu2SQ,@akshaj-lol,why u comparing creep,neutral,why u comparing,textMessageEvent,,15349.384
2026-04-26T18:02:01.095Z,UCDiTa2MHbhpvlGCyC537kEg,@ririslvt,dont compare ppl bruh,neutral,dont compare ppl,textMessageEvent,,15350.052
2026-04-26T18:02:16.730Z,UCJeyyHU-0pr3lDeNkzMNW4w,@phosphozaki,male moment ,neutral,male moment,textMessageEvent,,15365.741
2026-04-26T18:02:26.101Z,UCSnniqW8FUKEVw6QH0QGrIw,@Normantime,poby is lost,neutral,poby is lost,textMessageEvent,,15375.233
2026-04-26T18:02:28.970Z,UC8yPRwk9JZQlCykJSgfeFww,@haldern501,"she Kench ulted Odo's elixir, mini Odo soon",neutral,she kench ulted,textMessageEvent,,15378.002
2026-04-26T18:02:31.232Z,UC7E-ZyApaU6L8HCXadLB03g,@shaakho,who is sjokz ,neutral,who is sjokz,textMessageEvent,,15380.309
2026-04-26T18:02:33.012Z,UCDiTa2MHbhpvlGCyC537kEg,@ririslvt,hes so cute,neutral,hes so cute,textMessageEvent,,15381.88
2026-04-26T18:02:33.017Z,UC4Q5MxAzagnh68n3UyKMOhQ,@Athrun23,"can we skip this, next series please",neutral,can we skip,textMessageEvent,,15381.954
2026-04-26T18:02:37.868Z,UCXNOk7C9ySXAeAwLQMyumQA,@gggremlin,@phosphozaki exactly lol,positive/humor,laughing reaction,textMessageEvent,,15386.96
2026-04-26T18:02:39.463Z,UCVfmStCk6SefBZqNKajbGaA,@noahschuster188,Are Shifters and Fnatic just the two worst teams in LEC?,questioning,question,textMessageEvent,,15388.558
